device,useragent
linux,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/537.5 (KHTML, like Gecko) Chrome/50.0.3440.236 Safari/603"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64; en-US) AppleWebKit/602.20 (KHTML, like Gecko) Chrome/50.0.2431.283 Safari/603.2 Edge/8.52104"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.0; Win64; x64; en-US) AppleWebKit/533.26 (KHTML, like Gecko) Chrome/50.0.2732.288 Safari/601"
edge,"Mozilla/5.0 (Windows NT 10.1;; en-US) AppleWebKit/537.43 (KHTML, like Gecko) Chrome/48.0.2585.181 Safari/602.8 Edge/14.18249"
firefox,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20130401 Firefox/56.7
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.1;; en-US) AppleWebKit/533.21 (KHTML, like Gecko) Chrome/55.0.1177.147 Safari/536"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; x64; en-US) AppleWebKit/537.45 (KHTML, like Gecko) Chrome/49.0.2725.225 Safari/533.6 Edge/10.23979"
chrome,"Mozilla/5.0 (Windows; Windows NT 10.3; x64) AppleWebKit/535.6 (KHTML, like Gecko) Chrome/54.0.1599.204 Safari/600"
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Nexus 6P Build/NME91E) AppleWebKit/533.24 (KHTML, like Gecko) Chrome/55.0.2097.204 Mobile Safari/601.4"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.2; x64; en-US Trident/4.0)
windows,"Mozilla/5.0 (Windows; Windows NT 10.0; x64) AppleWebKit/534.29 (KHTML, like Gecko) Chrome/53.0.3086.315 Safari/600.3 Edge/17.59140"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Win64; x64; en-US Trident/4.0)
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_0_5) Gecko/20100101 Firefox/46.0
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_5_5; like Mac OS X) AppleWebKit/603.18 (KHTML, like Gecko) Chrome/52.0.1642.160 Mobile Safari/603.1"
windows,"Mozilla/5.0 (Windows; Windows NT 6.1;) AppleWebKit/536.12 (KHTML, like Gecko) Chrome/50.0.2444.239 Safari/600"
linux,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/601.19 (KHTML, like Gecko) Chrome/52.0.3700.260 Safari/603"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_0_7) AppleWebKit/535.16 (KHTML, like Gecko) Chrome/48.0.1678.114 Safari/600"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/57.4
mobile,"Mozilla/5.0 (Linux; Android 7.0; Pixel C Build/NME91E) AppleWebKit/601.7 (KHTML, like Gecko) Chrome/48.0.3965.209 Mobile Safari/602.2"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.0; WOW64 Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.0; Win64; x64; en-US Trident/5.0)
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.2; WOW64 Trident/4.0)
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_6_8) AppleWebKit/601.50 (KHTML, like Gecko) Chrome/49.0.3835.239 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_4; like Mac OS X) AppleWebKit/533.3 (KHTML, like Gecko) Chrome/51.0.2614.246 Mobile Safari/534.3"
windows,"Mozilla/5.0 (Windows; Windows NT 6.0; WOW64) AppleWebKit/600.7 (KHTML, like Gecko) Chrome/49.0.2583.233 Safari/602"
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; WOW64; en-US) AppleWebKit/602.45 (KHTML, like Gecko) Chrome/55.0.3669.142 Safari/601.1 Edge/11.97068"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_7_2) Gecko/20130401 Firefox/74.8
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; Win64; x64) AppleWebKit/534.27 (KHTML, like Gecko) Chrome/48.0.2923.343 Safari/601.0 Edge/9.46455"
firefox,Mozilla/5.0 (Windows NT 10.5; x64; en-US) Gecko/20130401 Firefox/65.3
linux,Mozilla/5.0 (Linux; U; Linux i656 ) Gecko/20100101 Firefox/74.7
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_7_1; like Mac OS X) AppleWebKit/534.34 (KHTML, like Gecko) Chrome/50.0.1756.104 Mobile Safari/534.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_4; like Mac OS X) AppleWebKit/533.23 (KHTML, like Gecko) Chrome/54.0.1523.357 Mobile Safari/533.6"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2;; en-US) AppleWebKit/601.22 (KHTML, like Gecko) Chrome/50.0.2939.112 Safari/600.6 Edge/12.55766"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1;) AppleWebKit/536.25 (KHTML, like Gecko) Chrome/48.0.2511.349 Safari/603.1 Edge/8.39152"
mobile,"Mozilla/5.0 (Android; Android 5.0.1; SM-N910G Build/LRX22C) AppleWebKit/533.13 (KHTML, like Gecko) Chrome/48.0.1887.248 Mobile Safari/533.3"
mobile,"Mozilla/5.0 (Linux; Android 7.0; Pixel XL Build/NME91E) AppleWebKit/533.37 (KHTML, like Gecko) Chrome/50.0.1009.151 Mobile Safari/535.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_9_5; like Mac OS X) AppleWebKit/535.50 (KHTML, like Gecko) Chrome/52.0.2189.367 Mobile Safari/602.9"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_5; like Mac OS X) AppleWebKit/534.28 (KHTML, like Gecko) Chrome/51.0.3611.219 Mobile Safari/534.8"
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 10.4;; en-US Trident/7.0)
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.3;) Gecko/20130401 Firefox/56.1
android,"Mozilla/5.0 (Android; Android 6.0.1; HTC One_M9 Build/MRA58K) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/51.0.2495.221 Mobile Safari/536.1"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_9) Gecko/20130401 Firefox/49.2
edge,"Mozilla/5.0 (Windows; Windows NT 10.2;; en-US) AppleWebKit/602.31 (KHTML, like Gecko) Chrome/51.0.1112.394 Safari/533.0 Edge/18.71433"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; x64; en-US) AppleWebKit/533.7 (KHTML, like Gecko) Chrome/53.0.1660.305 Safari/603.1 Edge/12.95997"
windows,Mozilla/5.0 (Windows NT 10.2;; en-US) Gecko/20100101 Firefox/74.5
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.3; Win64; x64; en-US Trident/4.0)
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_5; en-US) Gecko/20130401 Firefox/49.3
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)
edge,"Mozilla/5.0 (Windows NT 10.4; Win64; x64; en-US) AppleWebKit/533.25 (KHTML, like Gecko) Chrome/47.0.1850.113 Safari/537.0 Edge/9.59970"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_5_2; like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Chrome/50.0.3943.340 Mobile Safari/601.6"
android,"Mozilla/5.0 (Android; Android 4.4; LG-E987 Build/KOT49I) AppleWebKit/535.10 (KHTML, like Gecko) Chrome/48.0.3071.189 Mobile Safari/600.2"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.3; WOW64 Trident/7.0)
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Win64; x64 Trident/4.0)
linux,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/536.21 (KHTML, like Gecko) Chrome/50.0.2528.325 Safari/600"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_9; like Mac OS X) AppleWebKit/535.8 (KHTML, like Gecko) Chrome/49.0.1422.330 Mobile Safari/602.7"
android,"Mozilla/5.0 (Linux; Android 5.0; HTC 80:number1-2w Build/JSS15J) AppleWebKit/601.22 (KHTML, like Gecko) Chrome/49.0.2896.381 Mobile Safari/602.4"
linux,Mozilla/5.0 (U; Linux i685 ) Gecko/20130401 Firefox/58.5
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/50.0.3212.297 Safari/533"
mobile,"Mozilla/5.0 (Linux; Android 4.4.1; LG-V700 Build/KOT49I) AppleWebKit/537.44 (KHTML, like Gecko) Chrome/53.0.2841.332 Mobile Safari/537.7"
edge,"Mozilla/5.0 (Windows NT 10.3; WOW64) AppleWebKit/602.35 (KHTML, like Gecko) Chrome/55.0.1399.127 Safari/536.7 Edge/15.88111"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_3_6 like Mac OS X) AppleWebKit/601.44 (KHTML, like Gecko) Chrome/55.0.1711.105 Mobile Safari/603.0"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1; WOW64; en-US Trident/4.0)
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_4_8; en-US) Gecko/20100101 Firefox/55.9
android,"Mozilla/5.0 (Linux; Android 4.4.1; SAMSUNG SM-E500L Build/KTU84P) AppleWebKit/536.46 (KHTML, like Gecko) Chrome/55.0.3950.270 Mobile Safari/533.4"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_2_5; en-US) AppleWebKit/600.6 (KHTML, like Gecko) Chrome/49.0.3856.355 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_8; like Mac OS X) AppleWebKit/602.12 (KHTML, like Gecko) Chrome/54.0.2025.384 Mobile Safari/537.9"
chrome,"Mozilla/5.0 (Windows; Windows NT 6.2; Win64; x64; en-US) AppleWebKit/536.35 (KHTML, like Gecko) Chrome/48.0.3274.106 Safari/603"
android,"Mozilla/5.0 (Linux; U; Android 4.3.1; SM-G330T Build/JLS36C) AppleWebKit/603.31 (KHTML, like Gecko) Chrome/47.0.2905.321 Mobile Safari/601.9"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; en-US Trident/6.0)
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_6_5; en-US) AppleWebKit/600.25 (KHTML, like Gecko) Chrome/47.0.3795.167 Safari/537"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_4; en-US) Gecko/20100101 Firefox/67.6
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3; Win64; x64; en-US Trident/5.0)
mobile,"Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9300 Build/KTU84P) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/54.0.3487.273 Mobile Safari/533.2"
android,"Mozilla/5.0 (Linux; Android 5.1; Nexus 5 Build/LMY48B) AppleWebKit/537.44 (KHTML, like Gecko) Chrome/51.0.1252.389 Mobile Safari/603.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_7; like Mac OS X) AppleWebKit/603.1 (KHTML, like Gecko) Chrome/51.0.3009.349 Mobile Safari/601.0"
chrome,"Mozilla/5.0 (U; Linux i575 ; en-US) AppleWebKit/535.30 (KHTML, like Gecko) Chrome/51.0.3179.342 Safari/537"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) Gecko/20130401 Firefox/69.9
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2; like Mac OS X) AppleWebKit/534.27 (KHTML, like Gecko) Chrome/48.0.2623.192 Mobile Safari/602.7"
firefox,Mozilla/5.0 (Linux; Linux i661 x86_64; en-US) Gecko/20130401 Firefox/66.2
mobile,"Mozilla/5.0 (Linux; Android 4.4.1; HTC OneS Build/KOT49H) AppleWebKit/600.22 (KHTML, like Gecko) Chrome/51.0.3205.261 Mobile Safari/602.9"
mobile,"Mozilla/5.0 (Linux; Android 7.1.1; Xperia V Build/NDE63X) AppleWebKit/536.29 (KHTML, like Gecko) Chrome/52.0.1367.153 Mobile Safari/537.9"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_3_5; en-US) Gecko/20100101 Firefox/48.2
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; Win64; x64) AppleWebKit/602.33 (KHTML, like Gecko) Chrome/49.0.3541.303 Safari/535.8 Edge/18.75082"
firefox,Mozilla/5.0 (Linux i666 x86_64) Gecko/20100101 Firefox/48.3
edge,"Mozilla/5.0 (Windows NT 10.0; x64) AppleWebKit/602.48 (KHTML, like Gecko) Chrome/52.0.3671.372 Safari/600.4 Edge/16.27704"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/6.0)
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.1; x64; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows NT 10.0; x64) AppleWebKit/534.39 (KHTML, like Gecko) Chrome/52.0.3572.218 Safari/600.0 Edge/10.64481"
windows,Mozilla/5.0 (Windows; Windows NT 6.2; Win64; x64; en-US) Gecko/20100101 Firefox/45.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_4; like Mac OS X) AppleWebKit/601.33 (KHTML, like Gecko) Chrome/47.0.3234.249 Mobile Safari/534.7"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.2; Win64; x64; en-US Trident/5.0)
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.3; WOW64; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows NT 10.3;; en-US) AppleWebKit/603.29 (KHTML, like Gecko) Chrome/51.0.2997.163 Safari/534.3 Edge/12.71806"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; WOW64; en-US) AppleWebKit/534.43 (KHTML, like Gecko) Chrome/49.0.1850.367 Safari/535.4 Edge/10.40007"
chrome,"Mozilla/5.0 (Linux i565 x86_64) AppleWebKit/601.24 (KHTML, like Gecko) Chrome/52.0.1145.213 Safari/602"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_3_0) AppleWebKit/600.19 (KHTML, like Gecko) Chrome/50.0.3439.315 Safari/533"
firefox,Mozilla/5.0 (Linux; U; Linux i580 ) Gecko/20100101 Firefox/52.3
edge,"Mozilla/5.0 (Windows NT 10.5; x64; en-US) AppleWebKit/533.50 (KHTML, like Gecko) Chrome/53.0.3824.121 Safari/536.2 Edge/17.24942"
linux,"Mozilla/5.0 (Linux i561 ; en-US) AppleWebKit/603.30 (KHTML, like Gecko) Chrome/52.0.3689.108 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_6_5; like Mac OS X) AppleWebKit/602.50 (KHTML, like Gecko) Chrome/50.0.2435.300 Mobile Safari/535.6"
firefox,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20100101 Firefox/73.2
android,"Mozilla/5.0 (Linux; U; Android 5.1; MOTO X PLAY XT1562 Build/LPH223) AppleWebKit/602.28 (KHTML, like Gecko) Chrome/48.0.3224.199 Mobile Safari/534.6"
firefox,Mozilla/5.0 (U; Linux i555 x86_64; en-US) Gecko/20100101 Firefox/63.7
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_8_9; like Mac OS X) AppleWebKit/601.15 (KHTML, like Gecko) Chrome/47.0.2390.314 Mobile Safari/602.5"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_9; like Mac OS X) AppleWebKit/600.50 (KHTML, like Gecko) Chrome/50.0.1412.235 Mobile Safari/601.8"
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; Win64; x64) AppleWebKit/537.26 (KHTML, like Gecko) Chrome/47.0.1104.153 Safari/534.4 Edge/15.34711"
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/60.2
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_7_9; like Mac OS X) AppleWebKit/536.24 (KHTML, like Gecko) Chrome/55.0.3362.315 Mobile Safari/600.6"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.0; Win64; x64 Trident/6.0)
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_7; en-US) Gecko/20100101 Firefox/63.5
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.0;) AppleWebKit/600.12 (KHTML, like Gecko) Chrome/55.0.1295.325 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4; like Mac OS X) AppleWebKit/601.49 (KHTML, like Gecko) Chrome/55.0.3312.254 Mobile Safari/600.7"
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20130401 Firefox/63.5
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.1; WOW64; en-US) AppleWebKit/600.8 (KHTML, like Gecko) Chrome/49.0.1864.256 Safari/600.3 Edge/12.59150"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; Win64; x64) AppleWebKit/601.21 (KHTML, like Gecko) Chrome/53.0.1687.132 Safari/536.7 Edge/8.67008"
android,"Mozilla/5.0 (Linux; Android 6.0; HTC One M8 Pro Build/MRA58K) AppleWebKit/534.14 (KHTML, like Gecko) Chrome/55.0.2301.369 Mobile Safari/603.0"
android,"Mozilla/5.0 (Linux; U; Android 4.3.1; HTC One max Build/JLS36C) AppleWebKit/601.4 (KHTML, like Gecko) Chrome/55.0.2363.156 Mobile Safari/535.2"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.0; WOW64; en-US Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.0; x64 Trident/6.0)
firefox,Mozilla/5.0 (Windows; Windows NT 6.0; WOW64) Gecko/20130401 Firefox/61.9
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; WOW64; en-US) AppleWebKit/537.15 (KHTML, like Gecko) Chrome/55.0.1778.196 Safari/535.1 Edge/17.15734"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_8_0; en-US) AppleWebKit/600.42 (KHTML, like Gecko) Chrome/47.0.1003.251 Safari/535"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2; x64; en-US) AppleWebKit/533.21 (KHTML, like Gecko) Chrome/51.0.2726.122 Safari/537.2 Edge/18.71230"
android,"Mozilla/5.0 (Android; Android 5.1.1; MOTOROLA MOTO XT1562 Build/LPK23) AppleWebKit/533.50 (KHTML, like Gecko) Chrome/55.0.3878.121 Mobile Safari/601.2"
windows,"Mozilla/5.0 (Windows; Windows NT 10.2; x64) AppleWebKit/603.50 (KHTML, like Gecko) Chrome/53.0.1908.384 Safari/537.0 Edge/12.13999"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_1; en-US) AppleWebKit/600.30 (KHTML, like Gecko) Chrome/52.0.1323.125 Safari/537"
android,"Mozilla/5.0 (Android; Android 5.1.1; MOTO G XT1068 Build/LPC23) AppleWebKit/603.14 (KHTML, like Gecko) Chrome/51.0.2615.353 Mobile Safari/537.9"
chrome,"Mozilla/5.0 (Windows NT 6.2;) AppleWebKit/601.16 (KHTML, like Gecko) Chrome/50.0.3134.112 Safari/603"
firefox,Mozilla/5.0 (Windows NT 10.1; Win64; x64) Gecko/20100101 Firefox/54.0
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_2_2) AppleWebKit/601.23 (KHTML, like Gecko) Chrome/49.0.2637.312 Safari/602"
firefox,Mozilla/5.0 (Windows; Windows NT 10.2; WOW64; en-US) Gecko/20130401 Firefox/47.3
firefox,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/57.3
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 11_2_3; like Mac OS X) AppleWebKit/603.8 (KHTML, like Gecko) Chrome/51.0.2930.392 Mobile Safari/603.8"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_7_4) Gecko/20100101 Firefox/59.0
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Pixel C Build/NME91E) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/50.0.2792.177 Mobile Safari/602.1"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; WOW64 Trident/4.0)
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/72.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_2; like Mac OS X) AppleWebKit/537.50 (KHTML, like Gecko) Chrome/53.0.2893.328 Mobile Safari/534.2"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_7; like Mac OS X) AppleWebKit/603.38 (KHTML, like Gecko) Chrome/50.0.2690.235 Mobile Safari/601.5"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.2; WOW64; en-US) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/54.0.2868.394 Safari/534"
linux,Mozilla/5.0 (U; Linux i683 x86_64; en-US) Gecko/20100101 Firefox/56.6
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_3_0; en-US) AppleWebKit/603.37 (KHTML, like Gecko) Chrome/52.0.1521.222 Safari/603"
windows,Mozilla/5.0 (Windows NT 6.2; WOW64; en-US) Gecko/20100101 Firefox/68.2
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Win64; x64; en-US Trident/4.0)
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_0_4 like Mac OS X) AppleWebKit/535.20 (KHTML, like Gecko) Chrome/48.0.2330.247 Mobile Safari/533.6"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_5) Gecko/20130401 Firefox/62.9
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.1; x64) AppleWebKit/600.35 (KHTML, like Gecko) Chrome/52.0.1474.299 Safari/602"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8; en-US) AppleWebKit/600.39 (KHTML, like Gecko) Chrome/50.0.1991.236 Safari/600"
android,"Mozilla/5.0 (Android; Android 7.1.1; Nexus 5X Build/NME91E) AppleWebKit/602.35 (KHTML, like Gecko) Chrome/55.0.3818.285 Mobile Safari/601.7"
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20130401 Firefox/63.1
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_6_8; en-US) Gecko/20100101 Firefox/71.9
linux,Mozilla/5.0 (U; Linux i680 x86_64) Gecko/20100101 Firefox/56.9
linux,"Mozilla/5.0 (Linux i681 x86_64) AppleWebKit/602.21 (KHTML, like Gecko) Chrome/48.0.2204.266 Safari/534"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2; like Mac OS X) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/50.0.1349.201 Mobile Safari/533.3"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.0; x64 Trident/4.0)
firefox,Mozilla/5.0 (Linux i676 ; en-US) Gecko/20100101 Firefox/51.3
firefox,Mozilla/5.0 (Windows; Windows NT 6.0; WOW64; en-US) Gecko/20130401 Firefox/73.8
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_2_2) AppleWebKit/533.35 (KHTML, like Gecko) Chrome/53.0.2458.217 Safari/537"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/603.34 (KHTML, like Gecko) Chrome/55.0.3049.392 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_9; like Mac OS X) AppleWebKit/603.42 (KHTML, like Gecko) Chrome/53.0.3924.337 Mobile Safari/536.6"
firefox,Mozilla/5.0 (Linux i681 ; en-US) Gecko/20100101 Firefox/72.8
linux,Mozilla/5.0 (Linux; U; Linux i651 ; en-US) Gecko/20100101 Firefox/50.7
android,"Mozilla/5.0 (Linux; U; Android 5.1; SM-G928L Build/LMY47X) AppleWebKit/535.20 (KHTML, like Gecko) Chrome/51.0.3662.273 Mobile Safari/602.2"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0;; en-US) AppleWebKit/603.32 (KHTML, like Gecko) Chrome/53.0.2715.182 Safari/535.1 Edge/14.16231"
edge,"Mozilla/5.0 (Windows NT 10.1; x64; en-US) AppleWebKit/536.8 (KHTML, like Gecko) Chrome/53.0.3094.378 Safari/601.0 Edge/13.74942"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/536.30 (KHTML, like Gecko) Chrome/50.0.1016.149 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_8_2; like Mac OS X) AppleWebKit/602.46 (KHTML, like Gecko) Chrome/52.0.3162.248 Mobile Safari/535.2"
android,"Mozilla/5.0 (Android; Android 5.1; MOTOROLA MOTO X PLAY XT1562 Build/LPC23) AppleWebKit/535.34 (KHTML, like Gecko) Chrome/51.0.2185.130 Mobile Safari/534.5"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.2; WOW64; en-US Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_1; like Mac OS X) AppleWebKit/603.19 (KHTML, like Gecko) Chrome/55.0.1599.198 Mobile Safari/534.9"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_4_0) Gecko/20100101 Firefox/52.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_0; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/50.0.3921.296 Mobile Safari/537.8"
android,"Mozilla/5.0 (Linux; Android 5.0.1; Lenovo A7000-a Build/LRX21M;) AppleWebKit/535.16 (KHTML, like Gecko) Chrome/51.0.2059.382 Mobile Safari/536.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_7; like Mac OS X) AppleWebKit/603.12 (KHTML, like Gecko) Chrome/49.0.2744.298 Mobile Safari/533.1"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) Gecko/20100101 Firefox/57.9
android,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-G9350I Build/LMY47X) AppleWebKit/600.9 (KHTML, like Gecko) Chrome/47.0.2828.393 Mobile Safari/533.4"
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Pixel XL Build/NME91E) AppleWebKit/533.33 (KHTML, like Gecko) Chrome/49.0.2316.309 Mobile Safari/536.5"
firefox,Mozilla/5.0 (Windows NT 10.4; x64) Gecko/20100101 Firefox/69.4
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_4_2; en-US) AppleWebKit/533.5 (KHTML, like Gecko) Chrome/51.0.1808.275 Safari/537"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.1; x64; en-US Trident/6.0)
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; x64) AppleWebKit/533.39 (KHTML, like Gecko) Chrome/53.0.3971.374 Safari/602.1 Edge/14.85964"
edge,"Mozilla/5.0 (Windows NT 10.1; Win64; x64) AppleWebKit/602.5 (KHTML, like Gecko) Chrome/53.0.3636.157 Safari/601.4 Edge/12.41772"
